MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	Representativity	ProvidedValue	CreationDate	ProvidedValueCode
Net Generating Capacity	6	B01	Biomass	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	AL	2024	100	97.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B07	Fossil Oil shale	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B08	Fossil Peat	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B09	Geothermal	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	AL	2024	100	527.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	AL	2024	100	1676.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B13	Marine	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B14	Nuclear	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B20	Other	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B15	Other renewable	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B16	Solar	AL	2024	100	195.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B17	Waste	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B18	Wind Offshore	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	AL	2024	100	0.00	03-03-2025 00:00:00	
Net Generating Capacity	6	B01	Biomass	AT	2024	100	549.00	03-03-2025 00:00:00	
